Original Ontology Class,SCRF Classification,Justification
linguistic competence,Precept,"An ability of an agent, and therefore an agent."
linguistic competence information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
linguistic concretization-interpretation process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
linguistic concretization-utilization process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
linguistic literacy competence,Precept,"An ability of an agent, and therefore an agent."
looking up a centrally registered identifier,Artifact,"Defined as a symbol, and thus is an artifact."
lot number,Artifact,"Defined as an information content entity, and therefore is an artifact."
lower secondary education objective,"Artifact, Precept",Defined as an objective specification that has both a concretization (and so is an artifact) and as having an overall goal (and so is a precept).
lower secondary education program,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
main release ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
male gender identity information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
male gender role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
mass,Artifact,"Defined as an extant quality, and therefore is an artifact."
mass measurement datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
mass unit,Artifact,"Defined as a data unit, and therefore is an artifact."
master's degree,Artifact,"Created by humans, and therefore is an artifact."
master's in the science of nursing degree,Artifact,"Created by humans, and therefore is an artifact."
material entity,"Agent, Artifact, Precept","Very broad category that can include both agents, artifacts, and precepts."
material entity role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
material information bearer,Artifact,"Defined as a non-agentic object that bears information, and therefore is an artifact."
materials section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
measurement datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
measurement methods section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
measurement unit label,Artifact,"Symbol created by humans, and therefore is an artifact."
mechanical wave quality,Artifact,"Collection of quantities adhering in a wave, therefore an artifact."
medical intervention,"Artifact, Precept","As a planned process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
medical procedure,Artifact,"As a planned process (in virtue of being a medical intervention), it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
medication assistance care encounter,Artifact,"Physically-realized event created by humans, and therefore is an artifact."
methods section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
model number,Artifact,"Concrete information content entity, and therefore is an artifact."
monetary personal income data item,Artifact,"Subclass of a data item, therefore an artifact."
money,Artifact,"Created by humans, and therefore is an artifact."
morphology,Artifact,"Non-precept quality of a single physical entity, therefore an artifact."
narrative object,Artifact,"Concrete information content entity, and therefore is an artifact."
neurosurgeon role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
non-binary identity information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
notes section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
numeral,Artifact,"A symbol created by humans, therefore an artifact."
nurse role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
nursery school role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
nursing home facility,Artifact,"Physical building created by humans, therefore an artifact."
nursing home function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
object,"Agent, Artifact",Broad category that can include both agents and artifacts.
object aggregate,"Agent, Artifact",Group of objects that can be both agents and artifacts.
objective specification,"Artifact, Precept",Describes a planned process endpoint in a way that can be a concretization (and therefore is an artifact) and articulate a goal (and therefore is a precept).
obo basic subset ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
obsolescence reason specification,Artifact,"Data point chosen from a list of allowed values created by humans, and therefore is an artifact."
obsolete American Indian or Alaska Native identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete Asian identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete Native Hawaiian or other Pacific Islander identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete OMB ethnic identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete OMB racial identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete aggregate of dependencies,Agent,"As an aggregate of organizations composed of agents, it is itself an agent."
obsolete aggregate of geopoli organizations,Artifact,"As an aggregate of organizations, it is composed of agents and is therefore itself an agent."
obsolete aggregate of major administrative subdivisions,Agent,"As an aggregate of organizations composed of agents, it is itself an agent."
obsolete aggregate of sovereign states,Agent,"As an aggregate of organizations composed of agents, it is itself an agent."
obsolete black or African American identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete communication,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
obsolete ethnic identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete ethnic identity question asking process,Artifact,"As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
obsolete expression of preferred language,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete female gender identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete gender identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete geopoli organization,Artifact,"As an organization, it is composed of agents and is therefore itself an agent."
obsolete geopolitical dependency,Agent,"As an aggregate of agents, it is itself an agent."
obsolete geopolitical organization,Artifact,"As an organization, it is composed of agents and is therefore itself an agent."
obsolete governmental organization,Artifact,"As an organization, it is composed of agents and is therefore itself an agent."
obsolete hispanic or latino identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete identity question asking process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
obsolete intergovernmental organization,Agent,"As an organization, it is composed of agents and is therefore itself an agent."
obsolete language,Precept,"Described as a disposition of a group of agents, and therefore is a precept."
obsolete linguistic competence,Precept,"An ability of an agent, and therefore an agent."
obsolete major administrative subdivision,Agent,"As an aggregate of agents, it is itself an agent."
obsolete male gender identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete material information bearer of question text plus answer set,Artifact,"Defined as a non-agentic object that bears information, and therefore is an artifact."
obsolete medical advice,Artifact,"Concrete instructions produced by an agent, and therefore is an artifact."
obsolete nongovernmental organization,Artifact,"As an organization, it is composed of agents and is therefore itself an agent."
obsolete not hispanic or latino identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete preferred language information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
obsolete private governance organizations,Agent,"As an organization, it is composed of agents and is therefore itself an agent."
obsolete questions asking process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
obsolete race identity question asking process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
obsolete racial identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete residential function,"Artifact, Precept","As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
obsolete role in human social processes,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
obsolete self-identity data item,Artifact,"Subclass of a data item, therefore an artifact."
obsolete socio-legal human social role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
obsolete sovereign state,Agent,"As an aggregate of agents, it is itself an agent."
obsolete subnational entity,Agent,"As an aggregate of agents, it is itself an agent."
obsolete supranational entity,Agent,"As an aggregate of agents, it is itself an agent."
obsolete survey data,Artifact,"As data produced by humans, they are artifacts."
obsolete survey execution,"Artifact, Precept","As a planned process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
obsolete survey plan specification,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
obsolete white identity datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete2_binary digital entity,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete2_binary executable,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete2_digital document,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete2_digital entity,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete2_report figure,Artifact,Part of a scientfic publication created by humans and therefore is an artifact.
obsolete2_text based digital entity,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete_artifact,Artifact,Labelled as an artifact.
obsolete_digital quality,Artifact,"As a quality of a digital entity, this is an artifact."
obsolete_establishing a CRID registry,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
obsolete_hospital role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
obsolete_identifier,Artifact,"Defined as a symbol, and thus is an artifact."
obsolete_material_entity,"Agent, Artifact",Broad category that can include both agents and artifacts.
obsolete_report element,Artifact,Part of a scientfic publication created by humans and therefore is an artifact.
obsolete_report table,Artifact,Part of a scientfic publication created by humans and therefore is an artifact.
obsolete_study interpretation,Artifact,Part of a scientfic publication created by humans and therefore is an artifact.
obsolete_survival curve,Artifact,Mathematical object created by humans and therefore is an artifact.
obsolete_unit of measure,Artifact,Symbol created by humans and therefore is an artifact.
occupation activity,"Artifact, Precept","Described as a process, and therefore it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
occupation disposition,Precept,Described as a disposition and therefore is a precept that constrains and drives agents.
occurrent,"Agent, Artifact, Precept","Very broad category that can include both agents, artifacts, and precepts."
one dimensional cartesian spatial coordinate datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
one-dimensional continuant fiat boundary,Artifact,Boundary of a material entity; not an agent or a precept and therefore is an artifact.
one-dimensional spatial region,Artifact,"Non-agentic object, and therefore is an artifact."
one-dimensional temporal region,Artifact,"Non-agentic spatiotemporal entity, and therefore is an artifact."
ontology module,Artifact,Subclass of a data item and therefore is an artifact.
ontology module subsetted by OWL profile,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
ontology module subsetted by expressivity,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
option as member of some answer set,Artifact,Written by humans and therefore an artifact.
organism,Agent,Paradigmatic agent.
organism role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
organism social role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
organization,Agent,"As an organization, it is composed of agents and is therefore itself an agent."
organization health care role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
organization role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
organization social role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
oscillating,"Artifact, Precept","Defined as a ""processual,"" and thus, like a process, is both an artifact and a precept."
outpatient clinic facility,Artifact,"Physical building created by humans, therefore an artifact."
outpatient clinic function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
overnight dialysis facility,Artifact,"Physical building created by humans, therefore an artifact."
overnight dialysis function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
palliative care encounter,Artifact,"Physically-realized event created by humans, and therefore is an artifact."
palliative function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
party to a legal agreement,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
party to a legal entity,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
party to a legal proceeding,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
party to a marriage contract,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
party to a power of attorney,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
party to an insurance policy,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
patent,Artifact,"As a written document created by humans, this is an artifact."
patient discharge,Artifact,"Deontic document act that is primarily a concrete action, and so is an artifact."
patient role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
patients section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
patients textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
payer role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
payment of debt,"Artifact, Precept",This is both a material record produced when a debt is paid (and therefore is an artifact) and a goal (and so a precept). 
pediatric surgeon role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
pediatric trauma patient role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
person health care provider role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
personal data disclosure,Artifact,"As a data set produced by humans, this is an artifact."
personal name,Artifact,"As a datum produced by humans, this is an artifact."
photograph,Artifact,Image produced by humans and therefore is an artifact.
photographic print,Artifact,Image produced by humans and therefore is an artifact.
physiatrist role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
physical object quality,Artifact,"Defined as an extant quality, and therefore is an artifact."
physical quality,Artifact,"Defined as an extant quality, and therefore is an artifact."
physically abusive behavior,"Artifact, Precept",Both a state of affairs created by an agent (and therefore is an artifact) and a perceived problem (and so a precept).
physician office facility,Artifact,"Physical building created by humans, therefore an artifact."
physician office function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
physician practice,"Artifact, Precept","Defined as a role, and so this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
physician role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
plan specification,"Artifact, Precept","Both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
planned process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
policy holder role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
portion of energy,Artifact,"Neither an agent nor a precept, and so classified as an artifact."
post-acute health care encounter,Artifact,"Physically-realized event created by humans, and therefore is an artifact."
postal address,Artifact,"A datum created by humans, and therefore is an artifact."
postal code,Artifact,"A datum created by humans, and therefore is an artifact."
pre-publication history section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
pre-publication history textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
preferred language information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
pressure,Artifact,"Material quality that is not itself an agent, and therefore is an artifact."
primary education objective,"Artifact, Precept",Defined as an objective specification that has both a concretization (and so is an artifact) and as having an overall goal (and so is a precept).
primary education program,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
primary language information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
primary school role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
principal diagnosis-assignment process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
private insurance policy holder role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
process boundary,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
process profile,Artifact,"As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
programming language,Artifact,Created by humans and therefore an artifact.
proportion of population in an elementary occupation,Artifact,"As a datum produced by humans, this is an artifact."
prospective financial valuation process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
psychologically abusive behavior,"Artifact, Precept",Both a state of affairs created by an agent (and therefore is an artifact) and a perceived problem (and so a precept).
public housing eligibility role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
public housing function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
publication,Artifact,"Written by humans, and therefore an artifact."
publication about an investigation,Artifact,"Written by humans, and therefore an artifact."
publishing process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
quality,"Artifact, Precept","Generally an artifact in that it is a property of an object that is not a disposition or process, but can be a precept when possession of that quality constrains an agent."
question text,Artifact,"Written by humans, and therefore an artifact."
racial categorization scheme,Artifact,"Concrete information content entity, and therefore is an artifact."
racial category,Agent,"Subclass of social category, which is defined as a collection of humans, therefore an agent."
racial identification process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
racial identity,Precept,"As an identity, this constrains an agent's actions and so is a precept."
racial identity information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
realizable,"Artifact, Precept",Can be both a material artifact or a disposition; in the latter case it is a precept.
reasoned ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
references section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
refusal to answer datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
registered nurse role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
rehabilitation facility,Artifact,"Physical building created by humans, therefore an artifact."
rehabilitation function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
related work section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
related work textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
relational quality,"Artifact, Precept",Concretized (and therefore is an artifact) but by interpersonal relationships that impose constraints on the persons (and so a precept).
religious gathering,Artifact,"Defined as a social act or aggregation thereof, and therefore is an artifact."
report,Artifact,"Written by humans, and therefore is an artifact."
representation,"Artifact, Precept","Can be a non-mental representation, in which case it is an artifact, or a mental representation, in which case it is a precept that constrains agents."
requirements section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
requirements textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
research participants section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
research settings section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
residence ZIP code information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
residence function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
residential facility,Artifact,"Physical building created by humans, therefore an artifact."
residential health care facility,Artifact,"Physical building created by humans, therefore an artifact."
response to a question asking process,Artifact,"As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
response to an identity question asking process,Artifact,"As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
results section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
role in human social processes,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
rule,"Artifact, Precept","Can be both a physically-written rule, in which case it is an artifact, but also constrains the actions of agents and thus is a precept."
running title,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
scalar measurement datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
scatter plot,Artifact,"Image produced by humans, and therefore is an artifact."
school facility,Artifact,"Physical building created by humans, therefore an artifact."
school function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
school organization,Agent,"As an organization, it is composed of agents and is therefore itself an agent."
school role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
secondary diagnosis-assignment process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
secondary school role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
serial number,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
setting datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
sexual orientation identity information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
sexually abusive behavior,"Artifact, Precept",Both a state of affairs created by an agent (and therefore is an artifact) and a perceived problem (and so a precept).
single layer subset ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
site,Artifact,Non-agentic physical location; therefore an artifact.
skilled nursing encounter,Artifact,"Physically-realized event created by humans, and therefore is an artifact."
skilled nursing facility,Artifact,"Physical building created by humans, therefore an artifact."
skilled nursing function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
smoker role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
smoking rate calculation,Artifact,"A datum created by humans, and therefore is an artifact."
social act,"Artifact, Precept","As a planned process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
social categorization scheme,Artifact,"Concrete information content entity, and therefore is an artifact."
social category,Agent,"Defined as "" a collection of humans demarcated by some social categorization scheme."" Therefore, an agent."
social identity,Precept,"As an identity, this constrains an agent's actions and so is a precept."
social identity information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
social security number,Artifact,"A datum created by humans, and therefore is an artifact."
socio-economic data item,Artifact,"Subclass of a data item, therefore an artifact."
software,Artifact,Created by humans and therefore an artifact.
software application,Artifact,Created by humans and therefore an artifact.
software development,"Artifact, Precept","Described as a process, and therefore it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
software interpreter,Artifact,Created by humans and therefore an artifact.
software library,Artifact,Created by humans and therefore an artifact.
software method,Artifact,Created by humans and therefore an artifact.
software module,Artifact,Created by humans and therefore an artifact.
software script,Artifact,Created by humans and therefore an artifact.
sound energy,Artifact,Created by humans and therefore an artifact.
source code module,Artifact,Created by humans and therefore an artifact.
source code repository,Artifact,Created by humans and therefore an artifact.
spatial region,Artifact,"Not inherently agentic or a constraint on agents, and therefore is an artifact."
spatiotemporal region,Artifact,"Not inherently agentic or a constraint on agents, and therefore is an artifact."
species subset ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
statistical analysis section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
statistical analysis textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
student role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
study bias section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
study design,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
study design execution,"Artifact, Precept","As a planned process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
study limitations section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
study limitations textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
subjective representation,Precept,"Described as a ""cognitive representation,"" and therefore is an internal precept of some agent. "
subset ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
supplementary material to a document,Artifact,Written by humans and therefore an artifact.
surgeon role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
surgery,Artifact,"Medical procedure implemented by a person, and therefore is an artifact."
survey data,Artifact,"As data produced by humans, they are artifacts."
survey execution,"Artifact, Precept","As a planned process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
survey plan specification,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
symbol,Artifact,Artifact created by humans.
system,"Agent, Artifact","Described as a material entity composed of causally related parts, which could describe both an agent and a precept."
table,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
table of abbreviations,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
table of contents,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
table of figures,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
tables section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
taxonomic bridge ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
template generated ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
temporal region,Artifact,"Non-agentic spatiotemporal region, therefore is an artifact."
textual entity,Artifact,"Defined as ""a manifestation"" and so created by an agent (in this case, a human being). Therefore, an artifact."
three dimensional cartesian spatial coordinate datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
three-dimensional spatial region,Artifact,"Non-agentic spatiotemporal region, therefore is an artifact."
time measurement datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
time sampled measurement data set,Artifact,"As a data set produced by humans, this is an artifact."
time stamped measurement datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
time trigger,"Artifact, Precept","As a planned process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
